srs,sgs
0.928682224,0.913239806
0.5,0.865706111
0.908620868,0.840543242
0.860328841,0.88335459
0.889042087,0.859225811
0.5,0.879838682
0.904898142,0.867015959
0.901003068,0.885215953
0.826962187,0.898452311
0.893695495,0.851470132
0.928096239,0.891110269
0.921684878,0.876357244
0.880562545,0.865740581
0.894488298,0.914136017
0.5,0.856778463
0.894798525,0.903140188
0.872634518,0.882906484
0.891937541,0.867877702
0.90944814,0.889248906
0.921926166,0.90948261
0.912998518,0.859604977
0.900382613,0.862052325
0.5,0.909654958
0.890558754,0.89965875
0.906345869,0.836648168
0.88983489,0.877667092
0.891696253,0.859811796
0.901520113,0.863844749
0.886146634,0.886008755
0.5,0.886939437
0.889076557,0.900210265
0.929681845,0.874426942
0.876357244,0.87787391
0.921753818,0.877460274
0.934886767,0.882079211
0.908207232,0.887146255
0.5,0.877701561
0.903071249,0.862534901
0.914377305,0.904208748
0.915514805,0.899762159
0.893316328,0.920237151
0.893661025,0.907242081
0.888007997,0.832477336
0.899796629,0.870428458
0.900141326,0.87897694
0.890420875,0.89090345
0.912515942,0.874047775
0.911550791,0.859467099
0.901554583,0.87235876
0.5,0.851470132
0.902519734,0.909137913
0.904518976,0.913377684
0.917272759,0.89859019
0.907965944,0.88545724
0.92361518,0.880941712
0.900486023,0.893764434
0.912447003,0.863844749
0.5,0.901692461
0.908586398,0.881424287
0.895074282,0.897866327
0.908189997,0.927096619
0.90948261,0.853400434
0.8571921,0.897969736
0.91603185,0.8648099
0.890524284,0.847195891
0.5,0.884974665
0.912412533,0.89310951
0.903657233,0.895729206
0.5,0.871876185
0.901072007,0.876288304
0.886456861,0.903657233
0.899555341,0.908551929
0.898762538,0.874358002
0.900313674,0.806831891
0.881389818,0.916755713
0.89645307,0.890248526
0.853676192,0.872875806
0.908034883,0.893971252
0.895660267,0.887801179
0.911792079,0.908827686
0.910034125,0.902450795
0.88983489,0.869359898
0.912171245,0.819826962
0.897728448,0.87022164
0.914859881,0.894798525
0.930888284,0.913653442
0.904794733,0.895143222
0.917686395,0.867739823
0.90400193,0.848229982
0.5,0.907690186
0.881631105,0.877115577
0.5,0.873806487
0.883975044,0.856226948
0.5,0.855020509
0.894867464,0.868704974
0.912378063,0.848023164
0.874978456,0.895522388
0.878218607,0.877391334
0.919720106,0.867912171
0.5,0.896590948
0.903967461,0.891868602
0.886250043,0.88659474
0.921650408,0.888593982
0.8724277,0.883975044
0.900658371,0.884078453
0.5,0.909413671
0.912205715,0.869049671
0.899279584,0.8724277
0.878873531,0.862431492
0.87790838,0.894591707
0.5,0.895074282
0.915101169,0.899555341
0.885009134,0.885353831
0.86153528,0.845954983
0.5,0.884905725
0.5,0.866878081
0.897349281,0.900865189
0.921409121,0.85277998
0.90072731,0.909275792
0.86046672,0.854675813
0.925269725,0.910999276
0.877184516,0.890696632
0.914480714,0.914239426
0.898486781,0.900279204
0.5,0.908103823
0.5,0.846472028
0.88438868,0.868118989
0.912688291,0.863741339
0.873254972,0.902140567
0.884147392,0.859501568
0.907069732,0.92909586
0.885905346,0.892695874
0.908310641,0.902106098
0.884871256,0.890524284
0.5,0.889972769
0.866740202,0.885767468
0.887973527,0.890696632
0.903519355,0.879631864
0.915825032,0.874082245
0.888180345,0.884974665
0.890627693,0.856675054
0.917686395,0.887801179
0.90407087,0.905553066
0.885422771,0.882286029
0.936093206,0.90841405
0.916617835,0.868360277
0.886422392,0.860122023
0.899314053,0.851159905
0.5,0.844679604
0.86150081,0.864396263
0.902416325,0.901968219
0.907104202,0.898934887
0.913722381,0.880941712
0.909758368,0.909137913
0.889283375,0.89638413
0.908931095,0.860501189
0.921305712,0.894591707
0.861776568,0.851539071
0.891661783,0.866567854
0.848712557,0.891386026
0.902623143,0.897004584
0.89855572,0.908551929
0.889490193,0.88218262
0.5,0.894350419
0.874978456,0.898900417
0.878080728,0.90072731
0.90944814,0.895074282
0.906276929,0.889490193
0.904622385,0.889248906
0.891110269,0.903484885
0.5,0.874530351
0.882010272,0.85495157
0.92695874,0.900554962
0.913653442,0.886146634
0.902795491,0.877287925
0.913722381,0.908758747
0.910723519,0.88435421
0.5,0.888835269
0.914480714,0.917755334
0.5,0.922856847
0.90624246,0.871152322
0.891868602,0.869739064
0.883595877,0.898142084
0.907621247,0.891903071
0.5,0.867533005
0.894143601,0.879735273
0.904656854,0.84299059
0.881355348,0.874151184
0.5,0.868739444
0.5,0.841198166
0.894384888,0.848333391
0.910378822,0.85384854
0.5,0.906690566
0.886284513,0.826307263
0.913929199,0.889800421
0.910826928,0.900486023
0.5,0.880183379
0.91168867,0.906001172
0.900692841,0.891006859
0.889352315,0.86808452
0.922132984,0.878287546
0.896315191,0.925131847
0.895832615,0.875150805
0.892764813,0.858019372
0.892868222,0.864086036
0.920202682,0.893661025
0.877115577,0.86043225
0.5,0.892351177
0.5,0.894798525
0.919168591,0.890696632
0.877356865,0.903002309
0.903174658,0.890455345
0.910137534,0.880700424
0.915342456,0.897831857
0.891903071,0.892626935
0.891903071,0.857019751
0.878908,0.844748544
0.892282238,0.896177312
0.893902313,0.888938678
0.898211023,0.912171245
0.885043604,0.898107614
0.5,0.875012926
0.882768605,0.905242839
0.908000414,0.886870497
0.884698907,0.83750991
0.915893971,0.892764813
0.910309882,0.863844749
0.838371652,0.871255731
0.902485264,0.87463376
0.5,0.885078074
0.902381855,0.906070111
0.869256489,0.882423908
0.899451932,0.875840199
0.912481473,0.874771638
0.913067457,0.891972011
0.894832994,0.878839061
0.89862466,0.860328841
0.910137534,0.904760263
0.906828444,0.900279204
0.902312916,0.893247389
0.903347006,0.89855572
0.892695874,0.883595877
0.891592844,0.889179966
0.917858743,0.880252318
0.5,0.896108373
0.5,0.890455345
0.5,0.876150426
0.922098514,0.888421633
0.5,0.854813691
0.901313295,0.892454586
0.5,0.898693599
0.5,0.901520113
0.914239426,0.899900038
0.914377305,0.818000069
0.918823894,0.871841715
0.886836028,0.885181483
0.888869739,0.907759126
0.901692461,0.884492089
0.895246631,0.911929958
0.910792458,0.894453828
0.902692082,0.882768605
0.922529385,0.866774672
0.90731102,0.886353452
0.902554204,0.893350798
0.911343973,0.866429975
0.5,0.913239806
0.927510255,0.868429217
0.900692841,0.888456103
0.898417842,0.859673917
0.901003068,0.891730723
0.886973906,0.871772776
0.912067836,0.884836786
0.919030712,0.899141705
0.5,0.86691255
0.873427321,0.864430733
0.89965875,0.928751163
0.886801558,0.879011409
0.904105339,0.875874668
0.89752163,0.910689049
0.895108752,0.904656854
0.908931095,0.845368998
0.5,0.847471649
0.899831099,0.861052704
0.876908759,0.873392851
0.926682982,0.888456103
0.906897384,0.886043225
0.90734549,0.865464824
0.886801558,0.873599669
0.891799662,0.911550791
0.917410637,0.872875806
0.9051739,0.902243976
0.900141326,0.915066699
0.896935645,0.885939816
0.899348523,0.880562545
0.88435421,0.924925028
0.920685257,0.89097239
0.914170487,0.841198166
0.88990383,0.89093792
0.860604598,0.88983489
0.5,0.856330357
0.909275792,0.858846644
0.5,0.835958774
0.904691324,0.886767088
0.877563683,0.888318224
0.914342835,0.837027334
0.903553824,0.850056875
0.902450795,0.897969736
0.908000414,0.887801179
0.885801937,0.894970873
0.915790562,0.885319362
0.894660646,0.893247389
0.927337906,0.856847403
0.880907242,0.862948537
0.903553824,0.861259522
0.917238289,0.8648099
0.921202303,0.912309124
0.869532246,0.878528834
0.915514805,0.86908414
0.909758368,0.890868981
0.862397022,0.901795871
0.5,0.834373169
0.879735273,0.896246251
0.905622005,0.868429217
0.915618214,0.892282238
0.914618593,0.860639068
0.92909586,0.920547379
0.914653063,0.920581848
0.9127917,0.891075799
0.886112164,0.878425425
0.872668988,0.856123539
0.5,0.876288304
0.901968219,0.865533763
0.898348902,0.877356865
0.885078074,0.850504981
0.5,0.854331116
0.898314432,0.872117473
0.913343215,0.901382234
0.865947399,0.875805729
0.5,0.896039433
0.5,0.894488298
0.5,0.904346627
0.887870118,0.905277309
0.899968977,0.912102306
0.891765193,0.897073524
0.5,0.88545724
0.90731102,0.922132984
0.913515563,0.89748716
0.894384888,0.875426562
0.5,0.88328565
0.894350419,0.886043225
0.921340181,0.890593223
0.887921823,0.881251939
0.5,0.907759126
0.5,0.893212919
0.917720864,0.901209886
0.913205336,0.869290959
0.897107994,0.889697011
0.858433008,0.883044362
0.899520871,0.883492468
0.5,0.910654579
0.5,0.858743235
0.901106477,0.884836786
0.5,0.888042467
0.91492882,0.917686395
0.5,0.892799283
0.906587157,0.900934128
0.5,0.891592844
0.921340181,0.911275034
0.893006101,0.867567474
0.89855572,0.879907621
0.890110648,0.904450036
0.912067836,0.905932233
0.921995105,0.89097239
0.893902313,0.897107994
0.898245493,0.868187929
0.912102306,0.885147013
0.905484127,0.880562545
0.5,0.892420117
0.894591707,0.849987936
0.92913033,0.888007997
0.897625039,0.889938299
0.880148909,0.922098514
0.919789046,0.883044362
0.893867843,0.877425804
0.5,0.892764813
0.913032987,0.884595498
0.883147772,0.893350798
0.904312157,0.874358002
0.914997759,0.878597773
0.897556099,0.909999655
0.5,0.835131502
0.5,0.883147772
0.899141705,0.867050429
0.886491331,0.902623143
0.899968977,0.881734514
0.5,0.895108752
0.898900417,0.884836786
0.895005343,0.896970115
0.908276171,0.908965565
0.5,0.881700045
0.892144359,0.878080728
0.909413671,0.884181862
0.898728069,0.902485264
0.877460274,0.878425425
0.5,0.830064458
0.881217469,0.894729585
0.889007618,0.866740202
0.872668988,0.889972769
0.893798904,0.891386026
0.915790562,0.902726552
0.898279963,0.89859019
0.89200648,0.868808383
0.90841405,0.868291338
0.913084692,0.904450036
0.917410637,0.887732239
0.894040192,0.89207542
0.880286788,0.893419737
0.915652683,0.90510496
0.911585261,0.875529971
0.889662542,0.895936024
