srs,sgs
0.881165765,0.780290235
0.853417669,0.869928648
0.846179036,0.763968839
0.773861639,0.824601013
0.633173624,0.7273448
0.5,0.633173624
0.909137913,0.757712592
0.5,0.836131123
0.810933784,0.763227741
0.839198925,0.633173624
0.5,0.860070318
0.856675054,0.772982662
0.5,0.839457447
0.5,0.633173624
0.5,0.862155734
0.800455,0.861190583
0.5,0.878873531
0.5,0.633173624
0.755730585,0.633173624
0.773861639,0.856571645
0.846472028,0.633173624
0.5,0.871772776
0.893936783,0.743597256
0.895798146,0.694977767
0.714366964,0.797283789
0.808882838,0.779876599
0.633173624,0.891903071
0.773861639,0.891075799
0.785564096,0.633173624
0.5,0.633173624
0.861569749,0.759091379
0.843438696,0.633173624
0.5,0.885922581
0.5,0.830633208
0.835803661,0.800230947
0.5,0.753024715
0.773861639,0.775292131
0.5,0.766709179
0.86313812,0.788700838
0.714366964,0.637447865
0.849815587,0.633173624
0.852418048,0.797887008
0.824773362,0.830719382
0.5,0.785236634
0.5,0.742597635
0.871048912,0.638413016
0.773861639,0.748285133
0.872737927,0.732205026
0.773861639,0.768760125
0.882234325,0.769018648
0.5,0.746079073
0.5,0.721036848
0.720778325,0.746889111
0.773861639,0.633173624
0.5,0.727689497
0.5,0.751835511
0.836337941,0.702337045
0.694977767,0.870169936
0.5,0.617300334
0.773861639,0.633173624
0.5,0.633173624
0.866481679,0.765985316
0.79066561,0.74592396
0.5,0.778515046
0.5,0.777911827
0.853262556,0.771121299
0.5,0.828392679
0.875030161,0.633173624
0.889490193,0.689048981
0.825462756,0.766536831
0.5,0.688980042
0.90026197,0.633173624
0.830185102,0.75567888
0.883871635,0.829340595
0.794457275,0.8472993
0.5,0.855192858
0.5,0.840612182
0.5,0.758643273
0.5,0.65152873
0.5,0.89204095
0.5,0.815811244
0.90457068,0.795026025
0.850866913,0.688428527
0.5,0.898004205
0.833580366,0.782203302
0.773861639,0.798352349
0.895832615,0.674140843
0.5,0.720106167
0.5,0.828427148
0.5,0.800075833
0.895625797,0.632501465
0.5,0.720106167
0.633173624,0.789941746
0.773861639,0.633173624
0.5,0.680724553
0.761245734,0.633173624
0.773861639,0.784064665
0.5,0.852676571
0.5,0.647685361
0.773861639,0.732067147
0.870100996,0.811519768
0.5,0.708179656
0.824497604,0.877150047
0.5,0.87516804
0.5,0.828978663
0.888180345,0.87840819
0.856985281,0.867688118
0.5,0.747423391
0.5,0.705353142
0.633173624,0.719727
0.803884733,0.768415429
0.849212368,0.766433422
0.5,0.633173624
0.847506118,0.709093103
0.5,0.733066768
0.812088518,0.833183965
0.773861639,0.640619076
0.834562752,0.816914274
0.78895936,0.796508221
0.840681121,0.741839302
0.5,0.87894247
0.5,0.633173624
0.846161801,0.710919996
0.773861639,0.81355348
0.5,0.633173624
0.5,0.660525318
0.704560339,0.775154252
0.860122023,0.724449347
0.5,0.774602737
0.5,0.751680397
0.781065803,0.633173624
0.773861639,0.869911413
0.851849299,0.739305781
0.5,0.746406535
0.695012237,0.905294543
0.901640757,0.761073386
0.773861639,0.633173624
0.5,0.88659474
0.85114267,0.860483954
0.5,0.865688877
0.846989073,0.865895695
0.877529213,0.771603874
0.873754783,0.768467133
0.913170866,0.79063114
0.5,0.840836235
0.828358209,0.857709145
0.5,0.767915618
0.5,0.863534521
0.5,0.746354831
0.827841164,0.766829823
0.5,0.868825618
0.843800627,0.856812933
0.5,0.832718624
0.738530213,0.766295543
0.5,0.633173624
0.765123574,0.802764469
0.89691841,0.704043294
0.5,0.815001206
0.5,0.851539071
0.5,0.750336079
0.5,0.788356141
0.5,0.737323774
0.5,0.633173624
0.809658405,0.785650271
0.5,0.746130778
0.868291338,0.633173624
0.5,0.872582813
0.5,0.779238909
0.5,0.693443866
0.5,0.773482472
0.903347006,0.873858192
0.5,0.633173624
0.891972011,0.720106167
0.5,0.767433043
0.5,0.633173624
0.5,0.832890972
0.5,0.850815208
0.910826928,0.687756368
0.795026025,0.756264865
0.5,0.633173624
0.752094033,0.681724174
0.5,0.763072628
0.848505739,0.783220158
0.828496088,0.720106167
0.633173624,0.790320913
0.835493434,0.812795147
0.836527524,0.764244597
0.856864638,0.800885871
0.5,0.836958395
0.869825239,0.720106167
0.774964669,0.816604047
0.877408569,0.633173624
0.8750991,0.768156906
0.877132812,0.705715074
0.800506704,0.746216952
0.891558374,0.716573024
0.5,0.766381717
0.861586984,0.834872979
0.746372066,0.7638999
0.831581124,0.813001965
0.5,0.878856296
0.89090345,0.633173624
0.5,0.633173624
0.840560477,0.633173624
0.5,0.83423529
0.5,0.752197442
0.827410293,0.761814484
0.882544552,0.851194375
0.875564441,0.633173624
0.873944366,0.848953845
0.773861639,0.833597601
0.5,0.633173624
0.5,0.798903864
0.5,0.789338527
0.5,0.853400434
0.861311227,0.731446693
0.5,0.74919858
0.5,0.824239082
0.874943987,0.840405363
0.5,0.673434215
0.849918996,0.778980387
0.5,0.635569267
0.845265589,0.844041915
0.773861639,0.750956534
0.5,0.870169936
0.5,0.796990797
0.881734514,0.753765813
0.5,0.717210713
0.5,0.633173624
0.726017717,0.811002723
0.5,0.863396643
0.910895867,0.683792355
0.872083003,0.633173624
0.5,0.876150426
0.889593602,0.833046086
0.813088139,0.820499121
0.866309331,0.772448382
0.5,0.85715763
0.5,0.732601427
0.649701837,0.739857296
0.831719003,0.872737927
0.783099514,0.753128124
0.895298335,0.699493296
0.878994175,0.78845955
0.858536417,0.772138154
0.852073351,0.672072662
0.835941539,0.624538968
0.714366964,0.85655441
0.5,0.902261211
0.75076695,0.813174313
0.830409155,0.633173624
0.783719968,0.776119403
0.5,0.748871118
0.754334563,0.633173624
0.5,0.788063148
0.757523009,0.790769019
0.5,0.810985488
0.876012547,0.817500259
0.5,0.890231292
0.830305746,0.633173624
0.846041157,0.743097446
0.866740202,0.633173624
0.857174865,0.743114681
0.839853849,0.825135294
0.876115956,0.74040881
0.844886422,0.799300265
0.644048809,0.825876392
0.5,0.855985661
0.773861639,0.833528662
0.854279411,0.863258764
0.633173624,0.857760849
0.78518493,0.611474958
0.878563304,0.747371687
0.5,0.694615835
0.772810313,0.815104615
0.5,0.792906139
0.813725828,0.633173624
0.633173624,0.711885147
0.77696391,0.831012375
0.5,0.912481473
0.5,0.805056703
